Model,Task,CV_Score_Mean,CV_Score_Std,Display_Score,Time_s
RandomForest,regression,0.0,0.0,-0.0,3.02
DecisionTree,regression,0.0,0.0,-0.0,0.14
AdaBoost,regression,0.0,0.0,-0.0,0.16
GradientBoosting,regression,-2.0158113187689988e-16,4.3199859202205715e-18,2.0158113187689988e-16,4.72
Ridge,regression,-2.6360361070264033e-06,3.5554061329612687e-07,2.6360361070264033e-06,0.13
XGBoost,regression,-3.3527146553274026e-05,6.705122085437494e-05,3.3527146553274026e-05,0.4
KNN,regression,-0.0005569024898541187,0.00024959145699354524,0.0005569024898541187,0.22
Lasso,regression,-0.13485803323183973,0.0028900754262522477,0.13485803323183973,0.11
ElasticNet,regression,-0.13485803323183973,0.0028900754262522477,0.13485803323183973,0.11
