Model,Task,CV_Score_Mean,CV_Score_Std,Display_Score,Time_s
LogisticRegression,classification,1.0,0.0,1.0,0.12
RandomForest,classification,1.0,0.0,1.0,2.08
GradientBoosting,classification,1.0,0.0,1.0,5.0
DecisionTree,classification,1.0,0.0,1.0,0.18
AdaBoost,classification,1.0,0.0,1.0,0.18
XGBoost,classification,0.9999011729974873,0.00019765400502533837,0.9999011729974873,0.5
KNN,classification,0.9992090851309197,0.0005044249412773173,0.9992090851309197,0.31
